1,1
0,0
0,2
0,2
2,2
5,1
4,0
4,2
6,1
9,1
8,1
9,2
10,1
9,0
13,1
12,0
13,2
14,0
17,1
16,1
17,2
18,1
17,0
21,1
20,2
22,2
21,0
1,5
0,4
0,6
2,4
2,6
5,5
4,5
6,5
9,5
8,4
8,6
10,5
13,5
13,4
12,6
14,6
17,5
16,4
17,6
18,4
21,5
20,5
22,6
22,4
1,9
0,10
2,10
1,8
5,9
4,8
5,10
6,8
9,9
8,9
10,10
10,8
13,9
12,9
13,10
14,9
13,8
17,9
16,8
16,10
18,8
18,10
21,9
20,9
22,9
1,13
0,12
0,14
2,13
5,13
4,13
6,12
6,14
9,13
8,13
8,14
9,12
9,14
10,12
10,13
10,14
13,13
12,12
12,14
14,12
14,14
17,13
16,12
17,12
18,12
16,14
17,14
18,14
21,13
20,13
22,12
22,14
1,17
0,18
2,18
1,16
5,17
4,16
4,18
6,16
6,18
9,17
8,16
8,17
8,18
9,16
9,18
10,16
10,17
10,18
8,19
13,17
12,17
14,16
14,18
17,17
18,16
18,18
21,17
20,16
21,18
22,16
1,21
0,21
2,21
5,21
5,20
5,22
9,21
8,22
10,20
13,21
12,22
14,22
13,20
